SubjectId,Name,ParentId,Level,SubjectIndex,ParentIndex
224,Multiplying and Dividing with Decimals,36.0,3,167,5.0
225,Fractions of an Amount,39.0,3,168,8.0
226,Equivalent Fractions,39.0,3,169,8.0
227,Simplifying Fractions,39.0,3,170,8.0
228,Ordering Fractions,39.0,3,171,8.0
229,Converting Mixed Number and Improper Fractions,39.0,3,172,8.0
230,Adding and Subtracting Fractions,39.0,3,173,8.0
231,Multiplying Fractions,39.0,3,174,8.0
232,Dividing Fractions,39.0,3,175,8.0
233,Percentages of an Amount,44.0,3,176,12.0
234,Percentage Increase and Decrease,44.0,3,177,12.0
235,Reverse Percentages (Original Amount),44.0,3,178,12.0
236,Repeated Percentages and Compound Interest,44.0,3,179,12.0
237,Converting between Fractions and Decimals,38.0,3,180,7.0
238,Converting between Fractions and Percentages,38.0,3,181,7.0
239,Converting between Decimals and Percentages,38.0,3,182,7.0
240,Simplifying and Equivalent Ratios,46.0,3,183,14.0
241,Sharing in a Ratio,46.0,3,184,14.0
242,Find Missing Quantities,46.0,3,185,14.0
243,Direct Proportion,45.0,3,186,13.0
244,Indirect (Inverse) Proportion,45.0,3,187,13.0
245,"Squares, Cubes, etc",40.0,3,188,9.0
246,"Square Roots, Cube Roots, etc",40.0,3,189,9.0
247,Laws of Indices,40.0,3,190,9.0
248,Simplifying Surds,48.0,3,191,16.0
249,Operations with Surds,48.0,3,192,16.0
250,Rationalising the Denominator,48.0,3,193,16.0
251,Simplifying Expressions by Collecting Like Terms,62.0,3,194,30.0
252,Multiplying Terms,62.0,3,195,30.0
253,Dividing Terms,62.0,3,196,30.0
254,Difference of Two Squares,153.0,3,197,103.0
255,Algebraic Fractions,49.0,2,198,17.0
256,Completing the Square,153.0,3,199,103.0
257,Plotting Lines from Tables of Values,54.0,3,200,22.0
258,Horizontal and Vertical Lines,54.0,3,201,22.0
259,Finding the Equation of a Line,54.0,3,202,22.0
260,Finding the Gradient and Intercept of a Line from the Equation,54.0,3,203,22.0
261,Gradient as change in y over change in x,54.0,3,204,22.0
262,Parallel Lines,54.0,3,205,22.0
263,Perpendicular Lines,54.0,3,206,22.0
264,Graphical Solution of Simultaneous Equations,54.0,3,207,22.0
265,Plotting Quadratics from Tables of Values,55.0,3,208,23.0
266,Sketching from Factorised Form,55.0,3,209,23.0
267,Sketching from Completing the Square Form,55.0,3,210,23.0
268,Graphical Solution of Quadratic Equations,55.0,3,211,23.0
269,"Speed, Distance, Time",79.0,3,212,47.0
270,Density,79.0,3,213,47.0
271,Pythagoras,71.0,2,214,39.0
272,Similarity and Congruency,71.0,2,215,39.0
273,"Length, Area and Volume Scale Factors",272.0,3,216,215.0
274,Congruency in Other Shapes,272.0,3,217,215.0
275,Line Symmetry,91.0,3,218,58.0
276,Rotational Symmetry,91.0,3,219,58.0
277,3D Plane Symmetry,91.0,3,220,58.0
278,Transformations,71.0,2,221,39.0
279,Right-angled Triangles (SOHCAHTOA),97.0,3,222,64.0
280,Non Right-angled Triangles (Sine and Cosine Rules),97.0,3,223,64.0
281,Area of Non Right-angled Triangles,97.0,3,224,64.0
282,Exact Values of Trigonometric Ratios,97.0,3,225,64.0
283,Add and Subtract Vectors,99.0,3,226,66.0
284,Vector Geometry,99.0,3,227,66.0
298,Kinematics,149.0,2,228,100.0
313,Advanced Measures of Variation,151.0,2,229,101.0
315,Permutations and Combinations,151.0,2,230,101.0
317,Regression,151.0,2,231,101.0
331,Money,32.0,2,232,1.0
332,Currency Conversions,331.0,3,233,232.0
334,Writing Ratios,46.0,3,234,14.0
335,Expanding Triple Brackets and more,152.0,3,235,102.0
336,Tally Charts,113.0,3,236,80.0
337,Types of Data and Questionnaires,113.0,3,237,80.0
338,Data Processing,101.0,2,238,68.0
339,Range and Interquartile Range from a List of Data,338.0,3,239,238.0
340,Averages and Range from Frequency Table,338.0,3,240,238.0
341,Interpreting and Comparing Data using Averages and Range,338.0,3,241,238.0
342,Data Representation,101.0,2,242,68.0
343,Frequency Diagram and Frequency Polygon,342.0,3,243,242.0
344,Venn Diagrams,342.0,3,244,242.0
348,Probability,101.0,2,245,68.0
349,Combined Events,348.0,3,246,245.0
350,Tree Diagrams with Independent Events,348.0,3,247,245.0
351,Using the Probability Addition Formula,348.0,3,248,245.0
352,Using the Conditional Probability Formula,348.0,3,249,245.0
353,Probability with Venn Diagrams,348.0,3,250,245.0
354,Algebraic Division,142.0,3,251,97.0
355,Remainder Theorem,142.0,3,252,97.0
361,Arithmetic Sequences,137.0,3,253,93.0
365,Recurrence Relations,137.0,3,254,93.0
366,Sigma Notation,137.0,3,255,93.0
367,Summing Series,137.0,3,256,93.0
369,Basic dy/dx,126.0,3,257,88.0
370,Differentiation from First Principals,126.0,3,258,88.0
371,Finding the Gradient,126.0,3,259,88.0
372,Finding Maximums and Minimums,126.0,3,260,88.0
374,Increasing and Decreasing Functions,126.0,3,261,88.0
375,Equations of Tangents,126.0,3,262,88.0
376,Equations of Normals,126.0,3,263,88.0
377,Second Order Derivative,126.0,3,264,88.0
388,Basic Indefinite Integration,129.0,3,265,90.0
406,Naming Co-ordinates in 2D,81.0,3,266,49.0
407,Naming Co-ordinates in 3D,81.0,3,267,49.0
408,Midpoint Between Two Co-ordinates,81.0,3,268,49.0
409,Gradient Between Two Co-ordinates,81.0,3,269,49.0
410,Distance Between Two Co-ordinates,81.0,3,270,49.0
411,Radians,119.0,2,271,86.0
412,Converting Between Degrees and Radians,411.0,3,272,271.0
416,Solving Basic Trigonometric Equations,139.0,3,273,94.0
417,Basic Trigonometric Identities,139.0,3,274,94.0
418,Reciprocal Trigonometric Identities,139.0,3,275,94.0
430,Laws of Logarithms,128.0,3,276,89.0
431,Solving Equations with Exps and Logs,128.0,3,277,89.0
432,Graphs of Exp and Log Functions,128.0,3,278,89.0
434,Function Notation,146.0,3,279,99.0
435,Domain and Range,146.0,3,280,99.0
436,Inverse Functions,146.0,3,281,99.0
437,Composite Functions,146.0,3,282,99.0
439,Angles in Triangles,74.0,3,283,42.0
441,Addition and Subtraction of Vectors,140.0,3,284,95.0
442,Position Vectors and Geometrical Applications,140.0,3,285,95.0
446,Addition and Subtraction of Matrices,130.0,3,286,91.0
447,Multiplication of Matrices,130.0,3,287,91.0
448,Transformations of Matrices,130.0,3,288,91.0
451,Roots of Polynomials,119.0,2,289,86.0
453,Cubic Equations,451.0,3,290,289.0
462,"Co-ordinate Geometry Problems (tangents, normals)",126.0,3,291,88.0
474,Standard Deviation and Variance from Discrete Data,313.0,3,292,229.0
480,Factorial Notation,315.0,3,293,230.0
487,Regression Equation,317.0,3,294,231.0
539,Velocity-Time Graphs,298.0,3,295,228.0
540,Displacement-Time Graphs,298.0,3,296,228.0
649,Function Machines,154.0,3,297,104.0
654,Relating Quadratic Graphs to the Discriminant,55.0,3,298,23.0
655,Missing Lengths,178.0,3,299,123.0
656,Co-ordinate Geometry with Straight Lines,54.0,3,300,22.0
657,Isometric Drawings,176.0,3,301,121.0
692,Physics,1642.0,1,302,370.0
698,Forces and Motion,692.0,2,303,302.0
700,Speed and Distance-Time graphs,698.0,3,304,303.0
1059,Best Value,46.0,3,305,14.0
1076,Solving Trigonometric Equations,154.0,3,306,104.0
1077,Simplifying Algebraic Fractions,255.0,3,307,198.0
1078,Adding and Subtracting Algebraic Fractions,255.0,3,308,198.0
1079,Multiplying and Dividing Algebraic Fractions,255.0,3,309,198.0
1080,Solving Equations with Algebraic Fractions,255.0,3,310,198.0
1081,Algebraic Proof,62.0,3,311,30.0
1082,Recurring Decimals to Fractions,38.0,3,312,7.0
1156,Maths-Others,3.0,1,313,0.0
1157,Number-Others,32.0,2,314,1.0
1158,Calculator Use-Others,35.0,3,315,4.0
1159,Decimals-Others,36.0,3,316,5.0
1160,"Factors, Multiples and Primes-Others",37.0,3,317,6.0
1161,"Fractions, Decimals and Percentage Equivalence-Others",38.0,3,318,7.0
1162,Fractions-Others,39.0,3,319,8.0
1163,"Indices, Powers and Roots-Others",40.0,3,320,9.0
1164,Negative Numbers-Others,42.0,3,321,11.0
1165,Percentages-Others,44.0,3,322,12.0
1166,Proportion-Others,45.0,3,323,13.0
1167,Ratio-Others,46.0,3,324,14.0
1168,Surds-Others,48.0,3,325,16.0
1169,Algebra-Others,49.0,2,326,17.0
1170,Straight Line Graphs-Others,54.0,3,327,22.0
1171,Quadratic Graphs-Others,55.0,3,328,23.0
1172,Inequalities-Others,59.0,3,329,27.0
1173,Sequences-Others,61.0,3,330,29.0
1174,Writing and Simplifying Expressions-Others,62.0,3,331,30.0
1175,Transformation of Functions-Others,68.0,3,332,36.0
1176,Geometry and Measure-Others,71.0,2,333,39.0
1177,Angles-Others,74.0,3,334,42.0
1178,Circles-Others,77.0,3,335,45.0
1179,Compound Measures-Others,79.0,3,336,47.0
1180,Co-ordinates-Others,81.0,3,337,49.0
1181,"Construction, Loci and Scale Drawing-Others",83.0,3,338,50.0
1182,Symmetry-Others,91.0,3,339,58.0
1183,Basic Trigonometry-Others,97.0,3,340,64.0
1184,Units of Measurement-Others,98.0,3,341,65.0
1185,Basic Vectors-Others,99.0,3,342,66.0
1186,Volume and Surface Area-Others,100.0,3,343,67.0
1187,Data and Statistics-Others,101.0,2,344,68.0
1188,Data Collection-Others,113.0,3,345,80.0
1189,Advanced Pure-Others,119.0,2,346,86.0
1200,Advanced Vectors-Others,140.0,3,347,95.0
1201,Rounding and Estimating-Others,141.0,3,348,96.0
1202,Advanced Algebra-Others,142.0,3,349,97.0
1203,Basic Arithmetic-Others,144.0,3,350,98.0
1204,Functions-Others,146.0,3,351,99.0
1207,Advanced Statistics-Others,151.0,2,352,101.0
1208,Expanding Brackets-Others,152.0,3,353,102.0
1209,Factorising-Others,153.0,3,354,103.0
1210,Solving Equations-Others,154.0,3,355,104.0
1211,Formula-Others,156.0,3,356,105.0
1212,Other Graphs-Others,158.0,3,357,107.0
1213,2D Names and Properties of Shapes-Others,174.0,3,358,119.0
1214,3D Shapes-Others,176.0,3,359,121.0
1215,Perimeter and Area-Others,178.0,3,360,123.0
1216,Algebraic Fractions-Others,255.0,3,361,198.0
1217,Pythagoras-Others,271.0,3,362,214.0
1218,Similarity and Congruency-Others,272.0,3,363,215.0
1219,Transformations-Others,278.0,3,364,221.0
1263,Money-Others,331.0,3,365,232.0
1264,Data Processing-Others,338.0,3,366,238.0
1265,Data Representation-Others,342.0,3,367,242.0
1266,Probability-Others,348.0,3,368,245.0
1636,Systematic Listing Strategies,144.0,3,369,98.0
1642,Science,,0,370,
1647,Scale Drawing and Maps,46.0,3,371,14.0
1648,Surface Area of Non-Prisms,100.0,3,372,67.0
1649,Volume of Non-Prisms,100.0,3,373,67.0
1650,Frequency Trees,342.0,3,374,242.0
1651,3D Trigonometry,97.0,3,375,64.0
1675,Limiting Values of Sequences,137.0,3,376,93.0
1676,Roman Numerals,144.0,3,377,98.0
1750,Pressure,79.0,3,378,47.0
1975,Combining Operations,144.0,3,379,98.0
1976,Frequency tables,113.0,3,380,80.0
1977,Mixed operation Negative Numbers,42.0,3,381,11.0
1980,Types of number,32.0,2,382,1.0
1982,Mixed operation Fractions,39.0,3,383,8.0
1983,Drawing Axes,54.0,3,384,22.0
1985,Reading Scales,98.0,3,385,65.0
1987,Sorting Shapes,174.0,3,386,119.0
1988,Labelling Shapes,174.0,3,387,119.0
